Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
06/19/2019    6.95      0.83    40.343    27.092    20.753    13.250     6.950           1.584                  20.983
07/17/2019   12.17      7.25    53.333    41.375    33.034    18.001     9.196           2.773                  49.909
07/27/2019   11.32      9.08    42.595    38.765    29.617    16.648     8.324           2.642                  43.979
07/31/2019   10.66      1.25    40.469    34.647    28.161    18.200    10.463           2.402                  43.709
08/01/2019   28.80     23.92    21.672    21.600    20.496    16.428    12.392           5.679                  93.295
08/19/2019    6.79      0.67    19.350    15.720    16.026    12.789     6.790           1.457                  18.632
08/19/2019    7.52      0.50    40.800    40.800    28.571    15.037     7.520           1.898                  28.535
09/02/2019   23.12      7.25    31.517    27.432    26.234    19.097    14.047           4.777                  91.226
05/14/2020   35.56      9.08    38.338    29.259    24.285    16.373    12.011           6.886                 112.752
05/23/2020   15.67      6.33    26.983    25.356    22.228    15.442    11.537           3.321                  51.280
08/02/2020   34.20     14.75    47.570    44.018    39.218    22.687    11.943           7.278                 165.108
08/29/2020  101.05     26.42    26.717    21.344    18.546    15.005    11.205          20.279                 304.293
10/10/2020   66.19     30.83    22.662    20.583    19.092    14.770    11.189          12.103                 178.767
06/05/2021   16.04      5.17    24.000    24.000    21.913    14.224     8.672           3.166                  45.036
06/17/2021   14.47      3.00    28.896    26.821    25.125    19.438    10.683           3.106                  60.374
06/26/2021   10.60      4.92    24.150    20.878    17.890    12.941     9.419           2.190                  28.343
07/04/2021   22.94      8.25    21.720    19.596    17.680    12.768     8.784           4.076                  52.039
07/07/2021    9.21      1.17    47.939    30.873    23.142    14.451     9.012           1.988                  28.723
07/08/2021   43.12     15.33    55.704    45.717    36.993    19.943    15.741           9.157                 182.611
07/13/2021   44.35     31.58    33.003    27.342    23.485    17.188     9.876           9.081                 156.083
07/30/2021   21.70     10.75    65.564    53.884    42.217    23.239    11.619           5.411                 125.734
08/15/2021   47.24     27.75    47.328    35.060    30.787    20.131    11.612          10.040                 202.124
08/22/2021   21.95     10.67    34.872    31.307    25.632    17.983    11.815           4.399                  79.112
