RIST 3.99.10
RUSLE Storm Output Table for Period of Data Processed.

Date        PRECIP  DURATION     MAX_5    MAX_10    MAX_15    MAX_30    MAX_60          ENERGY                    EI30
MO/DA/YR        mm       hrs     mm/hr     mm/hr     mm/hr     mm/hr     mm/hr           MJ/ha             MJ*mm/ha*hr
----------------------------------------------------------------------------------------------------------------------
07/24/1992   23.25      5.92    31.467    22.695    21.490    15.003     8.502           4.643                  69.664
08/01/1992   14.73      5.42    23.969    19.764    16.841    11.129     8.968           2.944                  32.765
08/10/1992   13.73      1.25    43.689    37.135    32.954    25.889    13.391           3.319                  85.933
08/14/1992   36.91      8.17    37.056    29.328    26.912    23.137    15.273           7.650                 177.000
08/22/1992   16.80     18.92    26.064    19.156    18.463    12.960     7.025           3.378                  43.779
08/29/1992   44.70     14.08    31.358    29.025    25.597    16.940    12.835           9.027                 152.912
08/31/1992   54.75     11.17    24.208    22.608    20.672    18.320    14.881          10.626                 194.671
09/04/1992   56.91     11.67    46.029    36.909    32.766    27.165    19.411          12.080                 328.155
09/24/1992   17.53     10.00     7.104     5.160     4.816     4.800     4.196           2.830                  13.583
10/02/1992  162.39    100.33    12.144    12.000    11.296    10.800     9.076          28.594                 308.817
10/11/1992   14.68     21.67     4.752     3.576     3.184     3.184     2.792           2.273                   7.239
10/17/1992   47.33     38.83     9.504     7.500     7.232     6.416     6.408           7.766                  49.828
10/21/1992   15.21     25.67     2.400     2.400     2.400     2.040     2.020           2.344                   4.781
10/28/1992   23.02     20.42     4.704     2.400     2.400     2.400     2.400           3.541                   8.499
11/03/1992   12.74      9.33     7.248     6.360     6.368     4.768     3.780           2.030                   9.677
11/15/1992   24.39     25.17     4.800     4.800     4.800     4.448     3.600           3.870                  17.214
12/02/1992   41.03     52.25     2.400     2.400     2.400     2.400     2.000           6.331                  15.195
12/04/1992   31.18     41.58     4.704     2.400     2.400     2.400     2.400           4.820                  11.567
12/07/1992   17.29     30.17     2.400     2.400     1.680     1.592     1.388           2.679                   4.264
12/10/1992   14.51     28.17     2.400     2.400     1.680     1.584     1.380           2.252                   3.568
03/23/1993   28.20     25.92     4.848     3.624     3.216     3.200     2.792           4.375                  13.999
04/11/1993   15.54     35.08     4.848     3.504     3.136     2.368     1.980           2.426                   5.744
05/28/1993   19.42      7.42    14.576    13.152    11.995    10.408     7.176           3.671                  38.205
06/02/1993   15.90     23.33    30.999    24.014    21.925    14.061     7.227           3.068                  43.146
06/12/1993   14.30     20.75     4.800     4.800     4.800     4.800     3.996           2.318                  11.125
06/20/1993   20.06      2.92    75.307    67.296    52.566    30.130    17.445           4.890                 147.322
06/22/1993   45.64     14.67    14.496    12.000    12.000    10.480    10.232           8.938                  93.667
07/02/1993   15.15      3.42    19.320    17.952    17.488    13.138     9.971           3.183                  41.824
07/10/1993   63.02     25.25    14.400    14.400    13.632    12.112    10.418          11.965                 144.917
07/18/1993   80.32     52.67    61.536    42.257    33.614    23.263    15.400          16.425                 382.104
07/31/1993   20.07      6.83    46.528    41.970    37.191    23.286    12.435           4.661                 108.525
08/05/1993   14.20      4.92    36.339    28.010    23.335    15.239     7.619           3.246                  49.464
08/07/1993   14.39      9.25    53.280    44.539    36.991    20.868    11.434           3.279                  68.428
08/08/1993   15.53      6.33     9.648     8.304     7.200     7.176     6.172           2.796                  20.066
08/24/1993   23.71     10.92    18.996    15.498    14.332    11.898    10.553           4.651                  55.335
08/25/1993   18.59      5.92    58.462    40.545    27.597    15.732     8.462           3.952                  62.172
08/27/1993   33.16     19.67    12.000    12.000    12.000    12.000     9.856           6.074                  72.884
09/13/1993   66.35     12.83    33.360    28.020    25.880    20.937    17.092          13.646                 285.709
09/24/1993   30.44      7.42    11.952    11.040    10.560     9.648     7.844           5.521                  53.268
09/25/1993   29.64     25.50    12.120     9.732     8.216     7.172     5.778           4.983                  35.736
10/02/1993  105.14     38.75    21.408    17.184    15.456    14.098    12.878          20.174                 284.411
10/05/1993   43.69     39.33    14.400    14.400    14.400    13.224    11.600           8.043                 106.366
10/08/1993   83.73     31.75    14.600    13.200    12.736    10.748     8.554          15.304                 164.488
10/12/1993   17.68      6.58    11.952    10.920    10.480     9.128     6.336           3.247                  29.641
10/13/1993   43.70     15.75    15.086    13.056    12.008    10.412     8.052           8.053                  83.850
10/20/1993   92.19     85.75    35.376    21.648    16.032     9.041     5.116          15.318                 138.485
11/05/1993   18.55     19.42     7.248     7.200     7.200     6.444     5.596           3.188                  20.546
